Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
110016014.0,443330.0,439205.0,2.0,2011-01-12,712.0,A(M),Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver,Slight,Male,62.0,Car
110016024.0,425059.0,433371.0,2.0,2011-01-12,830.0,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,39.0,Car
110016533.0,420683.0,434373.0,1.0,2011-01-12,1215.0,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,66.0,Car
110017112.0,431097.0,433000.0,1.0,2011-01-12,1735.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,39.0,Goods vehicle 3.5 tonnes mgw and under
110020375.0,429523.0,433820.0,2.0,2011-01-12,1230.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29.0,Car
110017709.0,427893.0,434624.0,2.0,2011-01-13,755.0,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26.0,Pedal cycle
110017956.0,421253.0,440320.0,1.0,2011-01-13,808.0,B,Wet / Damp,Darkness: street lights present but unlit,Fine without high winds,Pedestrian,Serious,Female,11.0,Car
110018244.0,432494.0,433751.0,4.0,2011-01-13,900.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,61.0,Car
110018638.0,428108.0,432802.0,2.0,2011-01-13,755.0,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,30.0,Car
110018805.0,420539.0,440258.0,2.0,2011-01-13,1635.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59.0,Pedal cycle
11001889.0,428370.0,431571.0,3.0,2011-01-13,1407.0,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,3.0,Car
110018909.0,430472.0,435630.0,2.0,2011-01-13,750.0,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23.0,Bus or coach (17 or more passenger seats)
110019019.0,428427.0,434017.0,2.0,2011-01-13,1940.0,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,26.0,Car
110019019.0,428427.0,434017.0,2.0,2011-01-13,1940.0,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30.0,Car
110023086.0,430711.0,433060.0,2.0,2011-01-13,1800.0,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,22.0,Car
110020024.0,433155.0,426320.0,1.0,2011-01-14,920.0,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,13.0,Car
110020351.0,427496.0,431324.0,3.0,2011-01-14,1025.0,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,66.0,Car
110020351.0,427496.0,431324.0,3.0,2011-01-14,1025.0,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33.0,Car
110020351.0,427496.0,431324.0,3.0,2011-01-14,1025.0,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46.0,Car
110020351.0,427496.0,431324.0,3.0,2011-01-14,1025.0,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30.0,Car
110020394.0,440364.0,432921.0,1.0,2011-01-14,1450.0,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,41.0,Car
110028318.0,428420.0,428769.0,2.0,2011-01-14,1350.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49.0,Car
110028318.0,428420.0,428769.0,2.0,2011-01-14,1350.0,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,40.0,Car
110022044.0,443555.0,431677.0,2.0,2011-01-15,1513.0,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver,Slight,Male,56.0,Goods vehicle 3.5 tonnes mgw and under
110022353.0,419921.0,441043.0,2.0,2011-01-15,1750.0,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,41.0,Car
110022391.0,423699.0,434572.0,2.0,2011-01-15,1725.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,58.0,Car
110022391.0,423699.0,434572.0,2.0,2011-01-15,1725.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,78.0,Car
110022391.0,423699.0,434572.0,2.0,2011-01-15,1725.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,49.0,Car
110023466.0,433877.0,434054.0,2.0,2011-01-15,1938.0,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Driver,Slight,Male,35.0,Car
110022731.0,438120.0,445841.0,1.0,2011-01-16,105.0,A,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,35.0,Car
110022813.0,431401.0,433650.0,1.0,2011-01-16,100.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,53.0,Car
110023728.0,431329.0,424958.0,3.0,2011-01-16,1920.0,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,19.0,Car
110025643.0,430308.0,433901.0,1.0,2011-01-16,1715.0,Unclassified,Wet / Damp,Darkness: street lighting unknown,Unknown,Pedestrian,Slight,Male,20.0,Car
110037801.0,428556.0,432730.0,2.0,2011-01-16,1250.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29.0,Car
110024867.0,424194.0,438765.0,2.0,2011-01-17,1145.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,18.0,Car
110024867.0,424194.0,438765.0,2.0,2011-01-17,1145.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,18.0,Car
110024990.0,429560.0,431576.0,1.0,2011-01-17,1345.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49.0,Car
110024990.0,429560.0,431576.0,1.0,2011-01-17,1345.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,64.0,Car
110025535.0,436287.0,428304.0,1.0,2011-01-17,1555.0,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11.0,Car
110028315.0,432430.0,434850.0,2.0,2011-01-17,1715.0,B,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,19.0,Car
110026365.0,438484.0,427254.0,2.0,2011-01-18,750.0,A,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51.0,Car
110026365.0,438484.0,427254.0,2.0,2011-01-18,750.0,A,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,10.0,Car
110026370.0,438787.0,426990.0,1.0,2011-01-18,900.0,A,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,33.0,Car
110027045.0,422224.0,433798.0,1.0,2011-01-18,800.0,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,15.0,Minibus (8 – 16 passenger seats)
110027045.0,422224.0,433798.0,1.0,2011-01-18,800.0,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,15.0,Minibus (8 – 16 passenger seats)
110027286.0,430361.0,433450.0,1.0,2011-01-18,1515.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,52.0,Bus or coach (17 or more passenger seats)
110027286.0,430361.0,433450.0,1.0,2011-01-18,1515.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26.0,Bus or coach (17 or more passenger seats)
110027443.0,433070.0,434009.0,2.0,2011-01-18,1700.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,18.0,Pedal cycle
110036783.0,430733.0,439260.0,1.0,2011-01-18,2035.0,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,56.0,Car
110038941.0,432028.0,435899.0,2.0,2011-01-18,1640.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,50.0,Motorcycle over 500cc
110028022.0,433906.0,434112.0,2.0,2011-01-19,755.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,58.0,Pedal cycle
110028309.0,421464.0,445813.0,2.0,2011-01-19,1000.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,44.0,Car
110028491.0,437041.0,425878.0,3.0,2011-01-19,1005.0,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42.0,Goods vehicle 3.5 tonnes mgw and under
110030967.0,428112.0,426277.0,3.0,2011-01-19,1830.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,35.0,Car
110086398.0,433158.0,435250.0,2.0,2011-01-19,1115.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,54.0,Car
110030056.0,427812.0,434421.0,2.0,2011-01-20,850.0,A,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,43.0,Pedal cycle
110030544.0,426988.0,427908.0,2.0,2011-01-20,1025.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,44.0,Bus or coach (17 or more passenger seats)
110030544.0,426988.0,427908.0,2.0,2011-01-20,1025.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,51.0,Bus or coach (17 or more passenger seats)
110031207.0,427458.0,437284.0,2.0,2011-01-20,1650.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,39.0,Car
110031207.0,427458.0,437284.0,2.0,2011-01-20,1650.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,39.0,Car
110031207.0,427458.0,437284.0,2.0,2011-01-20,1650.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,31.0,Car
110031656.0,431188.0,434979.0,2.0,2011-01-21,35.0,A,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,35.0,Car
110032985.0,429282.0,433481.0,2.0,2011-01-21,1640.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,21.0,Car
110032985.0,429282.0,433481.0,2.0,2011-01-21,1640.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20.0,Car
110032985.0,429282.0,433481.0,2.0,2011-01-21,1640.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,12.0,Car
110032985.0,429282.0,433481.0,2.0,2011-01-21,1640.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,27.0,Car
110033003.0,424413.0,434459.0,2.0,2011-01-21,1330.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,21.0,Car
110033003.0,424413.0,434459.0,2.0,2011-01-21,1330.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,22.0,Car
110033203.0,430041.0,432184.0,1.0,2011-01-21,2039.0,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25.0,Car
110034884.0,427690.0,436573.0,1.0,2011-01-21,2240.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,22.0,Bus or coach (17 or more passenger seats)
110038884.0,431402.0,435025.0,2.0,2011-01-21,1358.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,44.0,Car
110033519.0,429913.0,430965.0,2.0,2011-01-22,13.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,21.0,Car
110033519.0,429913.0,430965.0,2.0,2011-01-22,13.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,19.0,Car
110033519.0,429913.0,430965.0,2.0,2011-01-22,13.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,21.0,Car
110034797.0,430901.0,435546.0,2.0,2011-01-22,2125.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,45.0,Taxi/Private hire car
110036601.0,430100.0,431513.0,2.0,2011-01-22,1635.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39.0,Motorcycle over 125cc and up to 500cc
110047373.0,430424.0,433976.0,3.0,2011-01-22,2250.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,26.0,Taxi/Private hire car
110047775.0,429992.0,434071.0,1.0,2011-01-22,1400.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,12.0,Car
110134619.0,427973.0,431072.0,1.0,2011-01-22,2310.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,28.0,Car
110134619.0,427973.0,431072.0,1.0,2011-01-22,2310.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,35.0,Car
110036001.0,432497.0,433611.0,2.0,2011-01-23,1945.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30.0,Car
110036827.0,431617.0,435267.0,1.0,2011-01-24,820.0,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,11.0,Car
110037812.0,431775.0,435545.0,2.0,2011-01-24,1515.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,53.0,Car
110037857.0,420775.0,434390.0,3.0,2011-01-24,1725.0,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,19.0,Car
110037857.0,420775.0,434390.0,3.0,2011-01-24,1725.0,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,43.0,Car
110037857.0,420775.0,434390.0,3.0,2011-01-24,1725.0,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,19.0,Car
110037857.0,420775.0,434390.0,3.0,2011-01-24,1725.0,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,13.0,Car
110039417.0,424376.0,435296.0,2.0,2011-01-24,1855.0,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,41.0,Car
110038178.0,430175.0,434113.0,1.0,2011-01-25,45.0,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,20.0,Car
110039678.0,433138.0,434005.0,1.0,2011-01-25,1820.0,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,22.0,Motorcycle over 125cc and up to 500cc
110039953.0,429617.0,434645.0,2.0,2011-01-25,2255.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24.0,Car
110039967.0,424032.0,442013.0,1.0,2011-01-25,2126.0,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Serious,Male,18.0,Car
110039967.0,424032.0,442013.0,1.0,2011-01-25,2126.0,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Serious,Male,19.0,Car
110039967.0,424032.0,442013.0,1.0,2011-01-25,2126.0,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Fatal,Male,18.0,Car
110040606.0,426592.0,431736.0,2.0,2011-01-25,1815.0,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,19.0,Pedal cycle
110040370.0,433299.0,429978.0,3.0,2011-01-26,831.0,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39.0,Car
110040370.0,433299.0,429978.0,3.0,2011-01-26,831.0,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31.0,Car
110041120.0,427452.0,434601.0,2.0,2011-01-26,845.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28.0,Motorcycle over 500cc
110041698.0,426422.0,432040.0,1.0,2011-01-26,1700.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Serious,Male,17.0,Car
110041743.0,426065.0,436365.0,1.0,2011-01-26,1525.0,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,11.0,Car
110041760.0,431883.0,435241.0,2.0,2011-01-26,1829.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24.0,Car
110041760.0,431883.0,435241.0,2.0,2011-01-26,1829.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25.0,Car
110048908.0,442961.0,445660.0,2.0,2011-01-26,1845.0,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24.0,Motorcycle over 50cc and up to 125cc
110042345.0,424173.0,434735.0,2.0,2011-01-27,853.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,35.0,Car
110042345.0,424173.0,434735.0,2.0,2011-01-27,853.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31.0,Car
110042973.0,431660.0,426464.0,2.0,2011-01-27,850.0,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,45.0,Car
110043085.0,427992.0,435197.0,3.0,2011-01-27,1033.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41.0,Car
110043085.0,427992.0,435197.0,3.0,2011-01-27,1033.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,35.0,Car
110043220.0,429746.0,437053.0,3.0,2011-01-27,1350.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39.0,Car
110043437.0,420882.0,434556.0,2.0,2011-01-27,1640.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31.0,Car
110043438.0,421076.0,435274.0,3.0,2011-01-27,1714.0,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,36.0,Car
110043438.0,421076.0,435274.0,3.0,2011-01-27,1714.0,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,49.0,Car
110043635.0,437311.0,429483.0,2.0,2011-01-27,1703.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,18.0,Motorcycle over 500cc
110043635.0,437311.0,429483.0,2.0,2011-01-27,1703.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,17.0,Motorcycle over 500cc
110043675.0,442306.0,430289.0,1.0,2011-01-27,1745.0,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Male,8.0,Car
110043703.0,432718.0,433562.0,2.0,2011-01-27,1850.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,26.0,Car
110046411.0,431320.0,441249.0,1.0,2011-01-27,1421.0,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,39.0,Bus or coach (17 or more passenger seats)
110043967.0,423750.0,434662.0,4.0,2011-01-28,50.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,37.0,Car
110045094.0,443535.0,435118.0,2.0,2011-01-28,1225.0,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32.0,Car
110045094.0,443535.0,435118.0,2.0,2011-01-28,1225.0,Motorway,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29.0,Car
110045094.0,443535.0,435118.0,2.0,2011-01-28,1225.0,Motorway,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,43.0,Car
110045094.0,443535.0,435118.0,2.0,2011-01-28,1225.0,Motorway,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,25.0,Car
110045132.0,428717.0,435610.0,2.0,2011-01-28,1550.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19.0,Pedal cycle
110045521.0,436174.0,434668.0,1.0,2011-01-28,2110.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,28.0,Car
110045528.0,420545.0,446359.0,2.0,2011-01-28,2110.0,B,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,41.0,Car
110045528.0,420545.0,446359.0,2.0,2011-01-28,2110.0,B,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,22.0,Car
110045528.0,420545.0,446359.0,2.0,2011-01-28,2110.0,B,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,41.0,Car
110046211.0,418531.0,441062.0,1.0,2011-01-28,1530.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,12.0,Car
110046553.0,429953.0,430857.0,2.0,2011-01-28,816.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,45.0,Pedal cycle
110047363.0,431854.0,434716.0,1.0,2011-01-28,1402.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,67.0,Car
110050088.0,428838.0,434115.0,2.0,2011-01-28,830.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59.0,Car
110046569.0,430506.0,437060.0,2.0,2011-01-29,1225.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28.0,Pedal cycle
110046644.0,432388.0,433805.0,2.0,2011-01-29,1535.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,33.0,Car
110046644.0,432388.0,433805.0,2.0,2011-01-29,1535.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,40.0,Car
110046799.0,423519.0,434062.0,2.0,2011-01-29,1145.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,73.0,Bus or coach (17 or more passenger seats)
110047084.0,422641.0,440091.0,1.0,2011-01-29,2110.0,Unclassified,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23.0,Car
110047084.0,422641.0,440091.0,1.0,2011-01-29,2110.0,Unclassified,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,27.0,Car
110047084.0,422641.0,440091.0,1.0,2011-01-29,2110.0,Unclassified,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,3.0,Car
110047403.0,426968.0,439830.0,2.0,2011-01-29,1430.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,79.0,Car
110047422.0,429878.0,434398.0,2.0,2011-01-29,1440.0,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32.0,Car
110048105.0,428967.0,435475.0,1.0,2011-01-29,2115.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,27.0,Car
110048505.0,419770.0,437034.0,2.0,2011-01-30,1915.0,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,66.0,Car
110048505.0,419770.0,437034.0,2.0,2011-01-30,1915.0,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,35.0,Car
110048505.0,419770.0,437034.0,2.0,2011-01-30,1915.0,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,35.0,Car
110048544.0,436083.0,434785.0,1.0,2011-01-30,2320.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,41.0,Car
110050094.0,434804.0,428893.0,2.0,2011-01-31,1848.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,43.0,Pedal cycle
110050184.0,434990.0,436886.0,2.0,2011-01-31,1730.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,19.0,Car
110050184.0,434990.0,436886.0,2.0,2011-01-31,1730.0,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,61.0,Car
110053194.0,425155.0,434699.0,1.0,2011-01-31,845.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,37.0,Taxi/Private hire car
110050723.0,429815.0,434603.0,2.0,2011-02-01,853.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37.0,Car
110051807.0,430038.0,434035.0,1.0,2011-02-01,1448.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,32.0,Bus or coach (17 or more passenger seats)
110051818.0,428581.0,434967.0,2.0,2011-02-01,1500.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20.0,Pedal cycle
110051921.0,427044.0,429414.0,1.0,2011-02-01,1729.0,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,11.0,Car
110052017.0,429307.0,428258.0,1.0,2011-02-01,1500.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,13.0,Car
110052047.0,430398.0,433646.0,1.0,2011-02-01,1618.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,56.0,Bus or coach (17 or more passenger seats)
110052400.0,443744.0,435694.0,1.0,2011-02-02,740.0,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,21.0,Car
110053081.0,424889.0,427724.0,2.0,2011-02-02,1245.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47.0,Car
110053339.0,432513.0,438022.0,2.0,2011-02-02,1235.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47.0,Goods vehicle 3.5 tonnes mgw and under
110053339.0,432513.0,438022.0,2.0,2011-02-02,1235.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49.0,Car
110053862.0,425012.0,432899.0,1.0,2011-02-02,1830.0,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Female,11.0,Car
110054111.0,430958.0,435784.0,5.0,2011-02-02,1800.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver,Serious,Male,40.0,Car
110054111.0,430958.0,435784.0,5.0,2011-02-02,1800.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver,Slight,Male,53.0,Car
110054111.0,430958.0,435784.0,5.0,2011-02-02,1800.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver,Slight,Female,29.0,Car
110054111.0,430958.0,435784.0,5.0,2011-02-02,1800.0,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver,Slight,Male,25.0,Car
110054653.0,424780.0,428805.0,2.0,2011-02-02,1750.0,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37.0,Pedal cycle
110055847.0,430032.0,431016.0,2.0,2011-02-02,1512.0,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28.0,Car
110054435.0,424947.0,434437.0,2.0,2011-02-03,620.0,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,33.0,Pedal cycle
110054926.0,435673.0,434812.0,2.0,2011-02-03,950.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,44.0,Car
110055096.0,427669.0,438860.0,2.0,2011-02-03,1130.0,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,71.0,Car
